"","GSM524151.CEL.gz","GSM524152.CEL.gz","GSM524153.CEL.gz","GSM524154.CEL.gz","GSM524155.CEL.gz","GSM524156.CEL.gz","GSM524157.CEL.gz","GSM524158.CEL.gz","GSM524159.CEL.gz","GSM524160.CEL.gz","GSM524161.CEL.gz","GSM524162.CEL.gz","GSM524163.CEL.gz","GSM524164.CEL.gz","GSM524165.CEL.gz","GSM524166.CEL.gz","GSM524167.CEL.gz","GSM524168.CEL.gz","GSM524169.CEL.gz","GSM524170.CEL.gz"
"LOC101929550",6.50527321519002,8.18151187262435,6.54400727525716,6.74018638992387,6.69755682812804,7.6251605466579,7.55196762828459,6.24020476979383,6.33436711553805,7.69807842850249,5.76021349256367,5.44148657125847,6.89930214673251,6.00449548063347,6.04741933775183,6.06882087140154,5.0615656192773,6.53047142409984,5.06175345995942,5.86676911934464
"CEL",11.5635045674689,9.92843116893804,11.6362755210302,9.45767040765413,12.5904184218487,12.3231751365807,12.3012437923639,11.2303177305286,10.4816936487415,9.48915773629799,11.8014053556431,12.9817128455497,12.8252050195949,11.8066181648421,12.9806311494775,11.9488603503779,13.3515591940156,12.2042786706677,12.3780078861574,12.8257222554722
"CHL1",7.17925307307601,7.74788072465993,7.28348395815568,7.10456692718642,7.49627534785731,8.54536024918421,9.32908588949508,9.90609002611541,9.34025136209251,8.95629900183123,5.91845655878424,5.8274200192053,4.95029557081486,5.05920164809753,6.76475346876823,6.48222594011734,4.84483342981276,7.50501594311118,8.06048976067479,7.3075983909301
"CFTR",6.85411471223779,6.15287261023476,7.01213853714085,6.70405812160736,6.44388048643196,5.12480600744333,6.50686049407862,7.31869762663265,5.10437985256963,6.37367328467482,8.6527475736649,9.48168057363649,9.15355996151914,8.03717366741066,7.22532728934197,7.8693854118427,7.75349152956248,6.89686829706916,6.35357292491504,7.48706278476216
"ESM1",4.78012685179421,3.35905912806716,5.37902709608579,3.38873281764363,3.79826365162296,4.72564072255797,4.82456034561338,4.67275120976791,4.92680953558272,5.08087119959571,2.46732610627871,4.25138461401661,3.62541456619585,3.80536575180163,3.46236413381144,3.89373246501278,2.7638392882558,3.47189989616888,2.76609250072703,2.18195018419591
"ADD2",6.31207674047264,6.15837948745363,6.5694268051897,6.12727561667408,5.94292592714981,6.21009399604194,6.04829544205977,6.28275103994496,6.14406585993982,6.15347957853271,6.88626696039051,8.29597710010729,7.34301425951093,6.88669523923349,7.06742228604405,7.79623387232096,7.58842116611364,6.84480538893654,6.00094123092907,7.30443218759378
"SERPINA3",7.17412223262381,5.66324621973942,7.67257353513662,5.95937193042382,8.06433564570751,7.87283899093397,7.46539982550472,7.66297352144552,6.6879424415283,6.57718482004543,8.06850374532801,8.45508509175296,9.51847741389717,7.59612337095692,9.19341660160962,9.13685052841313,8.37505865337964,9.06981404352936,9.61820988494175,7.31614278787395
"CLPS",7.74937892779474,5.7600156056897,9.68245232393867,6.87608683805451,8.85402584983077,9.05226361995404,9.23761129069966,7.65626182179308,8.26175540919561,6.67449127563047,8.5868050774538,11.5598507867083,9.92798693977767,8.89814072968575,10.276906067138,8.34494716572917,11.0603784377819,8.5354972457546,9.51264609148222,10.4533643715258
"ERP27",7.27257772888336,4.90377858577048,7.42829561720579,4.4435186619802,5.42284777281911,6.72243218377244,7.36594007749859,6.65645197661833,5.98499629621386,5.16690555556028,7.23927483626878,10.2371330990377,8.00701808113279,7.68676922351101,7.69325111296621,6.0734511378047,9.43781030829662,7.20263776387318,8.38150443421393,8.11953769421439
"REG3G",6.35575037633819,5.87512009443009,5.61105070191795,5.37641023237603,4.98702207655023,6.52465722937024,4.74732605751041,6.89523396169595,3.97707315970508,4.33000967526797,7.45688752119981,8.53115176658288,9.64493032598319,7.05186993209429,6.63648522269198,8.07838829332445,7.03340272356608,7.75737453529104,7.56179089568312,5.18766697128981
"CPA2",8.5907618819075,7.4260649731437,9.92651030670383,6.22864804795557,9.47716866490407,9.35892296395026,9.26794572458794,8.92701077867258,8.44671462000509,8.08104295500292,9.20492879990569,11.6962314396361,10.9179625655632,10.0637875169505,11.6080033140587,9.47481120518962,11.2609583908779,9.44418866176251,9.63759662158835,9.85944330878901
"ASB9",11.5138820606438,12.2144746864089,12.0766336613645,11.5843265174625,12.0924275163368,12.2318097525919,12.2508469345851,10.6220348224448,12.5640612162845,12.1248215660159,10.0069446795056,9.99688455427119,10.9632328572443,10.7212067452951,10.4337798963155,10.1857444058718,9.86708499298536,11.5538135916047,10.7094313703764,11.622199682264
"TMEM37",9.2900515014725,9.39698622270355,9.58111548114591,9.5705717233125,9.66890607506136,9.72862631780015,10.1867768777075,8.11079995065039,8.91540466410825,9.38482433632759,7.99769959498262,7.59076944676955,8.30304614393064,8.99790240566631,8.67367883030245,7.6257056675485,8.28167204021099,8.82001306613683,8.13375647533485,7.12114908936138
"CCN2",7.5037549635973,8.18340235571669,5.95735421068592,7.38728270964907,7.5736767044854,7.39791790762069,8.85585056134988,7.49994390027681,7.42409149655489,7.92698807438397,6.13411123053872,6.24048704477609,4.80006320081597,7.11521115811246,3.3259555690224,6.69901749888779,4.63670753924299,6.72368129916309,5.08365391076241,6.93464891968315
