"","GSM524151.CEL.gz","GSM524152.CEL.gz","GSM524153.CEL.gz","GSM524154.CEL.gz","GSM524155.CEL.gz","GSM524156.CEL.gz","GSM524157.CEL.gz","GSM524158.CEL.gz","GSM524159.CEL.gz","GSM524160.CEL.gz","GSM524161.CEL.gz","GSM524162.CEL.gz","GSM524163.CEL.gz","GSM524164.CEL.gz","GSM524165.CEL.gz","GSM524166.CEL.gz","GSM524167.CEL.gz","GSM524168.CEL.gz","GSM524169.CEL.gz","GSM524170.CEL.gz"
"Hs.300642.0.S1_3p_at",7.59351136186015,7.30847548868573,6.74882125117353,7.68503675453277,7.20147822969778,7.87065493164007,8.14864713707421,8.40336517541855,8.59150985321123,8.63345442721523,7.0014890253335,7.20280145307223,7.20007561849384,7.10349028308922,7.57734598093705,7.77798617557971,8.21073197590451,7.82146520690247,8.60060137241564,7.48270415736412
"Hs.199292.0.S1_3p_x_at",7.45849475008122,4.70563441498274,3.75166150890112,4.63545679981938,4.8656139222114,4.33916471908273,3.66222488277256,4.15126954282476,5.414375828831,5.07798631139956,5.28790537815165,4.39349055010081,4.47498920932406,5.30764825304266,3.83250754708588,4.82535104879043,4.76753240293024,5.11460011896508,4.01727593271613,5.17190235293667
"g4885564_3p_at",7.07599429011366,7.17636921450148,7.22678655960067,7.55853371655089,9.21417604975016,9.07130604926804,8.95412653539381,8.11276635001188,7.87794421888242,8.40574180728868,7.60881609582724,7.43415583735202,6.93384795824633,7.16715356934357,8.96007601665239,8.35951646434662,9.00643514016753,8.34797426801347,8.37340573636457,7.73329397638932
"Hs.24752.2.S1_3p_a_at",4.14909076441393,4.09311669083974,4.1580535939806,4.2045313158757,4.76697489013601,5.31420696556767,4.70286400237663,5.4795099744768,6.14527084512424,5.92276779201749,4.34605436649385,3.74803999752465,3.96111440874181,4.54828932793899,4.80022499506791,5.53041384186947,4.71131210707182,4.97238611623233,5.44045579590999,4.76877912062701
"Hs.10852.0.A1_3p_at",4.31685854469474,4.27728399458658,4.4580210285922,4.09245794313877,4.96317018850418,6.56813919167809,6.48923950306645,6.74517516618968,6.51185574201903,6.38400443786767,4.61475654328787,4.80375948135118,3.87098182541014,4.1153930353376,4.10445702102203,6.34124140411877,6.09072978221878,6.524814591184,5.92049634618797,5.33637725151039
"g1518017_3p_at",5.92516493976302,5.78222803159271,5.98040522385331,5.77994947591433,5.71757926219907,6.01538805704139,6.75877081992199,6.58529785962989,6.92161314604495,7.02694121228373,5.97691449506662,5.78809717632762,5.59902241245507,5.84716468735873,5.48323557708476,6.10580156794881,6.21369242751709,6.66462089985529,7.04653428716416,6.83341000389817
"Hs.265891.0.S2_3p_at",5.57127041136084,5.51081895642729,4.7372852080323,5.2685712183694,5.61544986135046,6.65058812401637,6.24496641063873,7.26946247208986,6.90240886490719,7.57471534324527,5.79189355909505,5.20186953168473,5.97511242906724,6.0796962406732,5.76833611092294,6.9779200012585,6.66354466729692,7.05761945390024,6.82186443056941,5.95709040415112
"Hs.34650.0.A1_3p_at",4.50155309648502,3.79307630782082,3.8327202448138,4.45008765847017,4.7049329977977,5.74252630383158,5.64031955268307,6.33446497382986,5.65541434086681,5.84184126306195,4.38103082913821,3.38866126372931,3.84160188074152,3.96847966910195,4.53506436173289,5.12566370133463,5.97829561725569,5.53451330331436,6.03812105327908,6.22189891259397
"Hs.64341.1.A1_3p_at",5.09946816491498,5.72823143868895,5.45312281022755,5.54538201970556,5.95894724625332,5.99088923546626,5.16251507458148,6.4447754014936,6.38823491856463,6.18573939413923,5.50110903166001,5.55339297437684,6.10703975832809,5.77994947591433,6.48612876661465,6.85585781216053,6.86778648344591,6.00664039233047,5.48307550127304,6.38973544317718
"Hs.16420.1.S1_3p_s_at",7.75645343880565,7.63859849973466,7.9772437607515,7.47571664261237,9.03693708917846,9.5325020592675,9.06408542915123,9.0401699287599,8.91210541946354,8.89460199088576,7.89863466814955,6.97741776506058,7.40616461434657,7.57768651572288,9.01184782754588,9.4057472004052,8.74108581220051,8.45945747154322,8.79856891589977,8.87530513954024
"Hs.31209.0.A1_3p_at",6.91411813941402,6.73072137970634,6.3753050838619,6.59897085451756,7.50782254150829,7.42852343420972,7.82458391790461,8.32582754811275,8.41627517432758,7.77538704562615,6.89933550687716,6.3710709229666,6.08336740440581,6.44281824442794,7.71221254121256,7.91000205197082,8.81927064511794,7.9412356266086,7.90593169246257,7.45443170172911
"Hs2.385797.1.S1_3p_at",6.97739761075844,6.96288298215781,7.93050758442288,7.04023197935067,8.60894301270838,7.52205378861513,7.14522504201608,7.46334188842838,7.54702397821843,7.71248391329896,7.101414669979,9.77280907697502,7.83656729536595,7.95627136114969,7.55927221168718,8.06992590200665,9.45717926262732,7.9000592631679,7.31470168136051,8.23636062946746
"Hs.98728.0.S1_3p_at",5.04139551377513,4.63959873623555,5.12059891975018,4.7350040021373,5.08746583835822,4.72024661210692,3.69064649765199,5.94738990923014,5.31887142127394,6.09297485433258,3.59131331175207,4.10079748213522,3.98622253991176,3.76803413840076,4.34350184419599,4.69488468958385,4.63670753924299,4.29784333749544,5.17687252226666,5.0368784801597
"Hs.22529.0.A1_3p_x_at",6.02087822873069,6.3572244056659,6.29088643609969,6.39907839218658,5.33755251123759,5.03256963742588,5.84947843864285,5.50031753611987,5.49901840841174,6.00655800368209,6.74673057629675,6.11450320710277,6.85628841625696,6.57854074287623,5.46857659975751,5.29833733640758,5.73129860990151,5.42473040917605,5.35263396074844,5.96049522298246
"Hs2.382655.1.S1_3p_x_at",8.28867438085135,9.0169006609116,9.06156042769769,9.26891495533328,8.52691821112685,7.97216264950175,8.15477886479358,8.49016889693082,7.67878823830383,8.35420285140266,8.92441366725733,8.997192157861,9.71258770185205,9.39919248931163,8.11291431307052,8.29429212260873,7.93058482301749,8.67537782752249,8.54096530034194,8.81092253848126
"Hs.62929.0.A1_3p_at",5.75678046554408,5.56476941377581,5.47307017871953,5.93918616770371,6.68820959533229,9.20057034002054,9.18203180573953,5.63832619299489,7.46330866284519,8.34020097731762,5.63149899475661,5.47388197766372,6.70567779253781,6.8724700236329,6.82056793166501,7.24314097433435,7.60034032268567,7.7703737397625,7.36813882691702,7.84331209356197
"Hs2.376295.1.S1_3p_a_at",6.43391640677514,4.71783666670735,3.70041324500123,4.46099105868328,4.5716699304532,4.04315850888076,3.46541031167363,4.84651899719305,4.55346464516394,5.12865025315508,4.9102900522074,5.59915051617736,4.69515787353888,3.72124589423115,4.60180306303452,5.74906019351687,2.93645087209184,4.2923001408199,4.49637538772537,3.77332221898739
"Hs.124427.0.A1_3p_x_at",5.02875597197093,4.35433908747314,4.56654625627043,4.7214101019731,5.47157272080051,6.28016194644322,5.55514232984218,5.46497788719691,5.35150296557359,5.92941439394796,4.63936651257131,4.96639706683118,5.74010821389559,5.09309315782873,6.20550838820207,5.51255383557143,5.73396697559376,5.5313595538448,4.91188533446343,5.84396410896321
"Hs.12284.0.A1_3p_a_at",7.09477546302899,7.09054750644602,6.96353565285076,6.30361831580432,7.70246911241628,8.1776068512034,7.64697557468948,7.91590940928745,8.00837873678777,7.39504543981616,6.69405939582391,6.64720771209325,6.73864755802256,6.30238654034106,7.80018145052747,7.66846205708186,7.96474011012973,7.46454285070548,7.77101937607898,7.64536471756867
"Hs.283643.0.S1_3p_at",7.08144629301224,7.23108401708777,7.24865546054851,8.19620088765641,7.38300121260986,7.7974869649225,5.74136132093123,8.87911877484588,7.66051473025039,6.65423532628047,7.92700007213559,8.01437787736354,8.49040047562868,8.16212896236853,6.6866884901822,8.13020826222066,7.05239848249829,6.5046839820893,7.38461989114801,7.47798885589996
"Hs.135223.0.A1_3p_at",6.1546399543204,5.63351705179359,5.47183531574084,5.33719779295963,5.17284168298085,5.73814200801308,5.68958893914697,6.6975660902979,5.5662897646275,6.38266546233997,5.79891383961211,5.14304607551261,6.34474062058061,5.79767103035109,4.52518095756487,6.06188648398915,5.36805710631838,4.61308015643982,6.64201941614965,5.08258823656815
"Hs.197435.0.S1_3p_at",4.14487587292237,4.29185663416987,3.9186942046742,5.07853500723637,3.94906103261726,4.86401627649262,4.84817837742164,6.18242649804604,5.4986064179067,4.28251441644441,4.47470160544365,4.23723619167097,3.93660870458112,4.3193000059153,4.77042678708354,5.01345126388807,5.59848547332077,5.07142665891396,3.98693599426164,4.44710540258216
"1569008_3p_at",5.9610195679767,5.99068876999646,6.11344865418805,5.81694211155584,5.32924940669253,5.04709759869611,4.83450548898716,4.96023114742713,4.99178398165563,4.90472529123577,5.79785630093104,5.93301036870381,5.80463607365488,5.74526909318947,5.26791254177023,4.88749316127824,5.42865291173406,5.19694722017105,4.85441310001014,5.44727738969263
"Hs.21889.0.S1_3p_x_at",7.5015806602351,7.12928599691722,7.27844624178886,7.23745385332441,8.20526100985262,8.35122894784308,8.72680870707066,8.24453680987145,8.21694090470544,7.94929929481775,6.9899145903125,6.82139625867516,6.74228034253654,7.22770660833647,8.13631391767313,8.54498778946053,8.32690417136021,8.1239599787038,7.52935853416735,7.52679104384435
"208651_3p_x_at",7.35347431666117,7.20998031075238,6.18756453094684,6.09137940853382,5.99867347385702,6.90488288403969,6.42664101030661,8.15392427676659,7.16959201148673,7.26725304632753,6.94184659043491,6.56807018092973,6.89399279382192,5.94510910194811,6.73526622189526,6.74716600338641,7.40723131893324,7.14936663590625,6.83366618328448,6.00251111366954
"Hs.14706.0.A1_3p_at",7.81490814825274,7.28586826006108,7.50327725314617,7.4257853414808,6.94515574414496,6.81371870919707,7.21198707915128,5.95982421254816,6.24607517094836,6.20546424611853,6.7117767612695,7.26526189160616,6.81371870919707,7.08210131718495,6.95298021711822,6.68278248645026,6.67733597250174,6.28751367642109,6.31125867090556,6.3762176570897
"Hs.9663.0.S2_3p_x_at",3.76961929846986,4.20366885948615,3.84307223882956,3.71183878418103,5.22034506181701,6.26968226015721,6.31353611344427,6.98175102599011,6.51690779754609,6.82084048116883,3.74988796921753,2.93977743462477,3.68574136817495,4.09271013760882,4.63267429708852,6.13255439083153,6.13008117268306,6.38153437545475,5.98795639472599,5.93645834598997
"Hs.124620.0.A1_3p_s_at",7.06868641090017,6.96396294281851,6.64001389061735,7.51020125708509,6.71282913188867,6.14264325596017,6.32368161092004,7.3530376640068,5.75695309026339,6.56608441673659,7.19374324044645,7.32464935929878,8.07646799580137,7.3748944533726,6.07666067448225,6.9146872613006,6.59204746275335,7.07893836722032,5.7812617025621,7.27778766929365
"Hs.322444.0.S1_3p_x_at",4.17312161713546,4.19374066436252,4.59011248919874,4.38750521375092,3.55010371986341,3.53262420469401,2.92273201976788,3.38421972388608,3.15679355240806,2.97320323093351,5.0719920702291,4.52367566445752,4.65329462267219,4.48684667763836,3.36201508294776,3.12271901382102,3.56586905191216,3.42941835911617,3.09998153281712,3.1839779283014
